DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2005-Q1,88.30,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2005-Q2,89.66,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2005-Q3,91.95,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2005-Q4,92.80,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2006-Q1,94.70,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2006-Q2,96.71,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2006-Q3,98.24,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2006-Q4,99.57,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2007-Q1,99.86,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2007-Q2,101.72,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2007-Q3,102.89,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2007-Q4,103.22,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2008-Q1,103.81,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2008-Q2,104.19,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2008-Q3,103.61,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2008-Q4,101.82,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2009-Q1,100.31,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2009-Q2,99.98,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2009-Q3,99.87,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2009-Q4,100.27,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2010-Q1,99.86,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2010-Q2,101.01,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2010-Q3,101.52,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2010-Q4,101.45,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2011-Q1,101.87,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2011-Q2,102.73,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2011-Q3,102.46,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2011-Q4,101.41,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2012-Q1,100.53,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2012-Q2,100.22,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2012-Q3,99.93,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2012-Q4,99.46,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2013-Q1,97.90,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2013-Q2,98.27,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2013-Q3,98.35,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2013-Q4,97.84,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2014-Q1,97.66,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2014-Q2,98.53,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2014-Q3,98.97,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2014-Q4,98.42,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2015-Q1,98.41,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2015-Q2,99.87,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2015-Q3,100.77,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2015-Q4,100.94,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2016-Q1,101.85,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2016-Q2,103.53,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2016-Q3,105.07,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2016-Q4,105.60,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2017-Q1,106.28,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2017-Q2,107.92,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2017-Q3,109.62,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2017-Q4,110.49,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2018-Q1,111.44,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2018-Q2,113.21,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2018-Q3,114.96,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2018-Q4,115.70,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2019-Q1,116.17,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2019-Q2,118.27,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2019-Q3,119.94,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2019-Q4,120.96,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2020-Q1,122.33,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2020-Q2,124.30,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2020-Q3,125.97,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2020-Q4,127.74,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2021-Q1,129.51,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2021-Q2,133.07,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2021-Q3,137.33,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2021-Q4,139.91,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2022-Q1,142.43,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2022-Q2,145.62,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2022-Q3,146.90,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2022-Q4,144.40,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2023-Q1,143.09,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2023-Q2,143.35,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2023-Q3,143.63,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2023-Q4,142.55,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2024-Q1,142.69,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2024-Q2,145.33,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2024-Q3,147.60,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2024-Q4,148.44,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2025-Q1,150.25,,
ESTAT:PRC_HPI_Q(1.0),03/10/25 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Euro area – 20 countries (from 2023),2025-Q2,152.79,,
