"DATE","TIME PERIOD","Unit Labour Cost (based on persons) (MNA.Q.Y.I9.W2.S1.S1._Z.ULC_PS._Z._T._Z.IX.D.N)"
"1995-03-31","1995Q1","67.99"
"1995-06-30","1995Q2","68.29"
"1995-09-30","1995Q3","68.66"
"1995-12-31","1995Q4","69.33"
"1996-03-31","1996Q1","69.49"
"1996-06-30","1996Q2","69.38"
"1996-09-30","1996Q3","69.75"
"1996-12-31","1996Q4","69.84"
"1997-03-31","1997Q1","70.19"
"1997-06-30","1997Q2","69.84"
"1997-09-30","1997Q3","69.82"
"1997-12-31","1997Q4","69.62"
"1998-03-31","1998Q1","69.48"
"1998-06-30","1998Q2","69.96"
"1998-09-30","1998Q3","70.31"
"1998-12-31","1998Q4","70.80"
"1999-03-31","1999Q1","70.54"
"1999-06-30","1999Q2","71.17"
"1999-09-30","1999Q3","71.01"
"1999-12-31","1999Q4","71.17"
"2000-03-31","2000Q1","71.28"
"2000-06-30","2000Q2","71.40"
"2000-09-30","2000Q3","71.90"
"2000-12-31","2000Q4","72.33"
"2001-03-31","2001Q1","72.10"
"2001-06-30","2001Q2","72.64"
"2001-09-30","2001Q3","73.12"
"2001-12-31","2001Q4","73.88"
"2002-03-31","2002Q1","74.34"
"2002-06-30","2002Q2","74.57"
"2002-09-30","2002Q3","74.88"
"2002-12-31","2002Q4","75.25"
"2003-03-31","2003Q1","75.80"
"2003-06-30","2003Q2","76.32"
"2003-09-30","2003Q3","76.86"
"2003-12-31","2003Q4","76.58"
"2004-03-31","2004Q1","76.83"
"2004-06-30","2004Q2","76.98"
"2004-09-30","2004Q3","77.26"
"2004-12-31","2004Q4","77.48"
"2005-03-31","2005Q1","77.72"
"2005-06-30","2005Q2","77.93"
"2005-09-30","2005Q3","78.00"
"2005-12-31","2005Q4","78.49"
"2006-03-31","2006Q1","78.35"
"2006-06-30","2006Q2","78.49"
"2006-09-30","2006Q3","78.86"
"2006-12-31","2006Q4","78.79"
"2007-03-31","2007Q1","79.02"
"2007-06-30","2007Q2","79.37"
"2007-09-30","2007Q3","79.92"
"2007-12-31","2007Q4","80.59"
"2008-03-31","2008Q1","81.37"
"2008-06-30","2008Q2","82.18"
"2008-09-30","2008Q3","83.32"
"2008-12-31","2008Q4","84.68"
"2009-03-31","2009Q1","86.63"
"2009-06-30","2009Q2","86.43"
"2009-09-30","2009Q3","86.38"
"2009-12-31","2009Q4","86.38"
"2010-03-31","2010Q1","86.31"
"2010-06-30","2010Q2","86.08"
"2010-09-30","2010Q3","86.04"
"2010-12-31","2010Q4","86.06"
"2011-03-31","2011Q1","86.00"
"2011-06-30","2011Q2","86.50"
"2011-09-30","2011Q3","86.59"
"2011-12-31","2011Q4","87.17"
"2012-03-31","2012Q1","87.73"
"2012-06-30","2012Q2","88.30"
"2012-09-30","2012Q3","88.49"
"2012-12-31","2012Q4","88.84"
"2013-03-31","2013Q1","89.43"
"2013-06-30","2013Q2","89.19"
"2013-09-30","2013Q3","89.38"
"2013-12-31","2013Q4","89.55"
"2014-03-31","2014Q1","89.69"
"2014-06-30","2014Q2","89.91"
"2014-09-30","2014Q3","90.02"
"2014-12-31","2014Q4","90.23"
"2015-03-31","2015Q1","90.00"
"2015-06-30","2015Q2","90.33"
"2015-09-30","2015Q3","90.44"
"2015-12-31","2015Q4","90.67"
"2016-03-31","2016Q1","90.82"
"2016-06-30","2016Q2","91.15"
"2016-09-30","2016Q3","91.42"
"2016-12-31","2016Q4","91.50"
"2017-03-31","2017Q1","91.59"
"2017-06-30","2017Q2","91.73"
"2017-09-30","2017Q3","91.80"
"2017-12-31","2017Q4","92.04"
"2018-03-31","2018Q1","92.72"
"2018-06-30","2018Q2","93.29"
"2018-09-30","2018Q3","94.21"
"2018-12-31","2018Q4","94.49"
"2019-03-31","2019Q1","94.64"
"2019-06-30","2019Q2","95.28"
"2019-09-30","2019Q3","95.83"
"2019-12-31","2019Q4","96.31"
"2020-03-31","2020Q1","98.47"
"2020-06-30","2020Q2","103.12"
"2020-09-30","2020Q3","98.81"
"2020-12-31","2020Q4","99.61"
"2021-03-31","2021Q1","98.95"
"2021-06-30","2021Q2","98.62"
"2021-09-30","2021Q3","99.92"
"2021-12-31","2021Q4","100.59"
"2022-03-31","2022Q1","101.23"
"2022-06-30","2022Q2","101.64"
"2022-09-30","2022Q3","103.01"
"2022-12-31","2022Q4","104.93"
"2023-03-31","2023Q1","107.12"
"2023-06-30","2023Q2","108.26"
"2023-09-30","2023Q3","109.78"
"2023-12-31","2023Q4","111.57"
"2024-03-31","2024Q1","112.75"
"2024-06-30","2024Q2","113.78"
"2024-09-30","2024Q3","114.58"
"2024-12-31","2024Q4","115.44"
"2025-03-31","2025Q1","116.14"
"2025-06-30","2025Q2","117.30"
"2025-09-30","2025Q3","118.29"
